D_w_x_y_z		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	
D_1_2_3_4	40	47	17	24	28	29	31	33	37	25	10	26	8	43	6	44	2	41	39	36	35	32	45	30	46	27	42	38	49	23	22	21	1	19	18	3	16	4	5	48	12	11	9	7	13	14	15	34	20	40	
D_1_2_3_4	41	41	10	49	25	31	22	33	18	17	38	12	28	8	43	6	2	47	29	39	37	44	36	35	45	46	32	42	40	24	48	23	21	3	4	5	16	15	27	7	11	9	26	1	14	19	20	34	30	13	
D_1_2_3_4	42	49	22	2	33	41	18	17	16	38	11	13	4	3	10	43	40	29	39	44	45	46	36	35	47	32	31	28	24	15	25	48	23	21	6	19	7	27	14	12	9	8	1	5	26	37	20	34	30	42	
D_1_2_3_4	43	49	38	40	11	22	32	33	18	15	14	12	13	41	7	4	3	10	29	42	44	45	36	46	47	31	30	28	24	17	25	1	23	21	20	2	19	27	16	8	5	6	43	26	39	37	35	34	48	9	
D_1_2_3_4	44	40	15	14	49	35	32	41	42	27	45	22	39	18	38	12	11	9	7	13	36	1	2	33	3	4	30	43	44	48	23	8	21	20	10	46	16	6	19	47	0	34	31	29	28	26	25	17	5	37	
D_1_2_3_4	45	14	13	42	40	45	16	15	11	35	34	7	4	3	39	1	9	27	36	28	43	38	33	32	31	30	44	49	25	48	23	22	21	19	18	12	46	6	5	2	26	20	47	0	37	29	17	10	8	41	
D_1_2_3_4	46	20	34	39	35	30	27	48	40	19	15	14	42	1	9	46	7	5	12	38	37	36	47	3	43	32	31	4	29	26	11	25	6	23	21	18	17	16	45	13	28	24	44	0	33	22	10	8	2	41	
D_1_2_3_4	47	37	34	26	24	35	30	29	27	25	48	23	21	20	19	39	1	47	5	9	36	3	32	31	4	28	6	14	8	46	42	45	44	43	17	16	15	13	7	40	41	0	33	22	18	12	11	10	2	38	
D_1_2_3_4	48	37	34	5	26	31	30	29	28	25	23	21	20	19	36	17	24	44	1	47	46	8	16	32	3	4	6	7	48	42	10	45	12	13	43	18	41	40	39	0	35	33	27	22	15	14	11	9	2	38	
D_1_2_3_4	49	37	17	24	36	30	29	26	48	20	43	44	19	10	2	8	47	46	6	5	12	1	35	34	33	32	31	28	25	11	23	22	21	45	18	16	42	9	41	39	40	0	27	15	14	13	7	4	3	38	
